instance_id,bin_capacity,bins_array,method,time_taken
7,30,"[11, 19]",BackTracking,3.7124999999998964e-05
7,30,"[13, 17]",BackTracking,3.7124999999998964e-05
8,16,"[4, 12]",BackTracking,1.2833000000000289e-05
9,22,"[2, 3, 17]",BackTracking,3.349999999999881e-05
9,22,"[2, 20]",BackTracking,3.349999999999881e-05
9,22,"[3, 8, 11]",BackTracking,3.349999999999881e-05
9,22,"[8, 14]",BackTracking,3.349999999999881e-05
10,28,"[1, 9, 18]",BackTracking,3.6333000000002974e-05
10,28,"[1, 12, 15]",BackTracking,3.6333000000002974e-05
10,28,"[10, 18]",BackTracking,3.6333000000002974e-05
11,35,"[3, 5, 7, 9, 11]",BackTracking,9.14589999999986e-05
11,35,"[3, 13, 19]",BackTracking,9.14589999999986e-05
11,35,"[5, 11, 19]",BackTracking,9.14589999999986e-05
11,35,"[5, 13, 17]",BackTracking,9.14589999999986e-05
11,35,"[7, 9, 19]",BackTracking,9.14589999999986e-05
11,35,"[7, 11, 17]",BackTracking,9.14589999999986e-05
12,40,"[2, 4, 6, 10, 18]",BackTracking,0.0001843750000000005
12,40,"[2, 4, 6, 12, 16]",BackTracking,0.0001843750000000005
12,40,"[2, 4, 8, 10, 16]",BackTracking,0.0001843750000000005
12,40,"[2, 4, 8, 12, 14]",BackTracking,0.0001843750000000005
12,40,"[2, 4, 16, 18]",BackTracking,0.0001843750000000005
12,40,"[2, 6, 8, 10, 14]",BackTracking,0.0001843750000000005
12,40,"[2, 6, 14, 18]",BackTracking,0.0001843750000000005
12,40,"[2, 8, 12, 18]",BackTracking,0.0001843750000000005
12,40,"[2, 8, 14, 16]",BackTracking,0.0001843750000000005
12,40,"[2, 10, 12, 16]",BackTracking,0.0001843750000000005
12,40,"[4, 6, 8, 10, 12]",BackTracking,0.0001843750000000005
12,40,"[4, 6, 12, 18]",BackTracking,0.0001843750000000005
12,40,"[4, 6, 14, 16]",BackTracking,0.0001843750000000005
12,40,"[4, 8, 10, 18]",BackTracking,0.0001843750000000005
12,40,"[4, 8, 12, 16]",BackTracking,0.0001843750000000005
12,40,"[4, 10, 12, 14]",BackTracking,0.0001843750000000005
12,40,"[6, 8, 10, 16]",BackTracking,0.0001843750000000005
12,40,"[6, 8, 12, 14]",BackTracking,0.0001843750000000005
12,40,"[6, 16, 18]",BackTracking,0.0001843750000000005
12,40,"[8, 14, 18]",BackTracking,0.0001843750000000005
12,40,"[10, 12, 18]",BackTracking,0.0001843750000000005
12,40,"[10, 14, 16]",BackTracking,0.0001843750000000005
13,50,"[5, 10, 15, 20]",BackTracking,3.9458999999998634e-05
13,50,"[5, 10, 35]",BackTracking,3.9458999999998634e-05
13,50,"[5, 15, 30]",BackTracking,3.9458999999998634e-05
13,50,"[5, 20, 25]",BackTracking,3.9458999999998634e-05
13,50,"[10, 15, 25]",BackTracking,3.9458999999998634e-05
13,50,"[15, 35]",BackTracking,3.9458999999998634e-05
13,50,"[20, 30]",BackTracking,3.9458999999998634e-05
14,33,"[3, 11, 19]",BackTracking,7.012500000000074e-05
14,33,"[3, 13, 17]",BackTracking,7.012500000000074e-05
14,33,"[7, 9, 17]",BackTracking,7.012500000000074e-05
14,33,"[7, 11, 15]",BackTracking,7.012500000000074e-05
14,33,"[9, 11, 13]",BackTracking,7.012500000000074e-05
15,27,"[2, 5, 8, 12]",BackTracking,6.250000000000006e-05
15,27,"[2, 5, 20]",BackTracking,6.250000000000006e-05
15,27,"[5, 8, 14]",BackTracking,6.250000000000006e-05
15,27,"[5, 10, 12]",BackTracking,6.250000000000006e-05
16,45,"[6, 9, 12, 18]",BackTracking,4.5916999999999486e-05
16,45,"[6, 15, 24]",BackTracking,4.5916999999999486e-05
16,45,"[6, 18, 21]",BackTracking,4.5916999999999486e-05
16,45,"[9, 12, 24]",BackTracking,4.5916999999999486e-05
16,45,"[9, 15, 21]",BackTracking,4.5916999999999486e-05
16,45,"[12, 15, 18]",BackTracking,4.5916999999999486e-05
16,45,"[21, 24]",BackTracking,4.5916999999999486e-05
17,60,"[5, 10, 12, 15, 18]",BackTracking,8.800000000000127e-05
17,60,"[5, 10, 15, 30]",BackTracking,8.800000000000127e-05
17,60,"[5, 12, 18, 25]",BackTracking,8.800000000000127e-05
17,60,"[5, 25, 30]",BackTracking,8.800000000000127e-05
17,60,"[10, 15, 35]",BackTracking,8.800000000000127e-05
17,60,"[12, 18, 30]",BackTracking,8.800000000000127e-05
17,60,"[25, 35]",BackTracking,8.800000000000127e-05
18,24,"[3, 8, 13]",BackTracking,5.558400000000088e-05
18,24,"[11, 13]",BackTracking,5.558400000000088e-05
19,20,"[5, 15]",BackTracking,3.483400000000095e-05
19,20,"[7, 13]",BackTracking,3.483400000000095e-05
19,20,"[9, 11]",BackTracking,3.483400000000095e-05
20,20,"[3, 6, 11]",BackTracking,1.2166000000000954e-05
21,20,"[9, 11]",BackTracking,7.540999999999798e-06
22,20,[0],BackTracking,1.0833000000001758e-05
23,20,[0],BackTracking,6.917000000002116e-06
24,20,"[9, 11]",BackTracking,6.042000000001241e-06
25,20,"[2, 5, 13]",BackTracking,1.379099999999911e-05
25,20,"[2, 18]",BackTracking,1.379099999999911e-05
26,20,"[3, 17]",BackTracking,1.0875000000000468e-05
26,20,"[8, 12]",BackTracking,1.0875000000000468e-05
27,20,"[6, 14]",BackTracking,6.834000000000701e-06
28,20,"[7, 13]",BackTracking,1.4916999999999708e-05
28,20,"[9, 11]",BackTracking,1.4916999999999708e-05
29,20,[0],BackTracking,6.792000000001991e-06
30,18,"[1, 3, 5, 9]",BackTracking,2.8584000000001636e-05
30,18,"[7, 11]",BackTracking,2.8584000000001636e-05
31,22,"[3, 7, 12]",BackTracking,2.666700000000105e-05
31,22,"[3, 9, 10]",BackTracking,2.666700000000105e-05
31,22,"[10, 12]",BackTracking,2.666700000000105e-05
32,26,"[5, 8, 13]",BackTracking,1.504100000000036e-05
33,14,"[1, 4, 9]",BackTracking,1.3499999999999623e-05
34,28,[0],BackTracking,1.5292000000000083e-05
35,32,"[15, 17]",BackTracking,3.8416999999998924e-05
36,21,"[2, 8, 11]",BackTracking,1.6500000000002624e-05
36,21,"[8, 13]",BackTracking,1.6500000000002624e-05
37,25,"[3, 10, 12]",BackTracking,1.4958000000002414e-05
37,25,"[10, 15]",BackTracking,1.4958000000002414e-05
38,19,"[4, 6, 9]",BackTracking,1.4375000000000498e-05
38,19,"[9, 10]",BackTracking,1.4375000000000498e-05
39,31,"[6, 12, 13]",BackTracking,2.7084000000000136e-05
39,31,"[13, 18]",BackTracking,2.7084000000000136e-05
40,36,"[4, 12, 20]",BackTracking,1.5333999999998793e-05
40,36,"[8, 12, 16]",BackTracking,1.5333999999998793e-05
40,36,"[16, 20]",BackTracking,1.5333999999998793e-05
41,15,"[2, 6, 7]",BackTracking,1.4709000000001637e-05
41,15,"[6, 9]",BackTracking,1.4709000000001637e-05
42,17,"[8, 9]",BackTracking,2.5457999999999037e-05
43,23,[0],BackTracking,1.787500000000053e-05
44,27,"[2, 5, 7, 13]",BackTracking,3.0499999999999278e-05
44,27,"[2, 5, 9, 11]",BackTracking,3.0499999999999278e-05
44,27,"[5, 9, 13]",BackTracking,3.0499999999999278e-05
44,27,"[7, 9, 11]",BackTracking,3.0499999999999278e-05
45,29,[0],BackTracking,1.5000000000001124e-05
46,33,"[5, 10, 18]",BackTracking,2.6958000000000537e-05
46,33,"[15, 18]",BackTracking,2.6958000000000537e-05
47,37,[0],BackTracking,3.1582999999998224e-05
48,41,"[5, 17, 19]",BackTracking,3.0249999999999028e-05
